system   D            wsystem.c:583  maybe_parent_dir                 [   0.00174] Also searching C:\Users\Mario\Desktop\C++\2048\
display  D   display_settings.c:191  debug_display_settings           [   0.03911] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03913] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03914] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03916] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03918] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03920] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03922] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03923] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03925] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03927] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03929] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03931] Single Buffer requirement not met.
